,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
1,0.024781715,0.03171546,0.026322548,0.100282486,0.040960452,0.204288649,0.022470467,0.013995891,0.346815614,0.05097586,0.124935799,0.012455059
2,0.081894898,0.148638282,0.038166475,0.049673955,0.193517453,0.038166475,0.142884542,0.015151515,0.020905255,0.034714231,0.072688914,0.163598005
3,0.046563905,0.104367373,0.054271034,0.056197816,0.098587026,0.075465639,0.061978163,0.063904945,0.038856776,0.173731535,0.019588953,0.206486834
4,0.205083966,0.055325512,0.160225443,0.07878997,0.100184035,0.013917644,0.051874856,0.192661606,0.009086726,0.037382103,0.020128824,0.075339314
