,V1,V2,V3,V4,V5,V6,V7,V8,V9
1,0.051820446,0.064540009,0.025169931,0.063328622,0.480045764,0.012450367,0.050003365,0.074231106,0.178410391
2,0.118825281,0.034781432,0.429422114,0.197997023,0.025037217,0.067668155,0.037217485,0.061578021,0.027473271
3,0.147153729,0.166879756,0.04304414,0.086331811,0.014003044,0.297838661,0.094550989,0.126879756,0.023318113
